Crop,Year,Rainfall,Temp,N,P,K,Yield(Tons/Hectre)
Rice,1998,,,95.75,28.79,9.9,2.68
Rice,1999,,,95.75,28.79,9.9,2.17
Rice,2000,,,95.75,28.79,9.9,2.97
Rice,2001,,,95.75,28.79,9.9,2.55
Rice,2002,,,95.75,28.79,9.9,2.25
Rice,2003,,,95.75,28.79,9.9,3.28
Rice,2004,,,95.75,28.79,9.9,2.38
Rice,2005,,,95.75,28.79,9.9,2.96
Rice,2006,,,95.75,28.79,9.9,3.00
Rice,2007,,,95.75,28.79,9.9,2.80
Rice,2008,,,95.75,28.79,9.9,2.86
Rice,2009,,,95.75,28.79,9.9,1.80
Rice,2010,,,95.75,28.79,9.9,2.37
Rice,2011,,,95.75,28.79,9.9,2.33
Rice,2012,,,95.75,28.79,9.9,2.48
Rice,2013,,,95.75,28.79,9.9,2.86
Rice,2014,,,95.75,28.79,9.9,4.11
Rice,2015,,,95.75,28.79,9.9,2.37
Rice,2016,,,95.75,28.79,9.9,2.33
Rice,2017,,,95.75,28.79,9.9,2.48
Sugarcane,1998,,,95.75,28.79,9.9,95.95
Sugarcane,1999,,,95.75,28.79,9.9,96.90
Sugarcane,2000,,,95.75,28.79,9.9,91.20
Sugarcane,2001,,,95.75,28.79,9.9,83.60
Sugarcane,2002,,,95.75,28.79,9.9,91.21
Sugarcane,2003,,,95.75,28.79,9.9,95.95
Sugarcane,2004,,,95.75,28.79,9.9,96.90
Sugarcane,2005,,,95.75,28.79,9.9,91.20
Sugarcane,2006,,,95.75,28.79,9.9,83.60
Sugarcane,2007,,,95.75,28.79,9.9,91.21
Sugarcane,2008,,,95.75,28.79,9.9,95.95
Sugarcane,2009,,,95.75,28.79,9.9,96.90
Sugarcane,2010,,,95.75,28.79,9.9,91.20
Sugarcane,2011,,,95.75,28.79,9.9,83.60
Sugarcane,2012,,,95.75,28.79,9.9,91.21
Sugarcane,2013,,,95.75,28.79,9.9,95.95
Sugarcane,2014,,,95.75,28.79,9.9,96.90
Sugarcane,2015,,,95.75,28.79,9.9,91.20
Sugarcane,2016,,,95.75,28.79,9.9,83.60
Sugarcane,2017,,,95.75,28.79,9.9,91.21
