Crop,Year,Rainfall,Temp,N,P,K,Yield(Tons/Hectre)
Wheat,2007,993.736,25.89,39.11,41.25,7.13,1.65
Wheat,2008,1101.211,24.23,39.11,41.25,7.13,1.46
Wheat,2009,620.826,26.28,39.11,41.25,7.13,1.37
Wheat,2010,1021.8,28.92,39.11,41.25,7.13,1.63
Wheat,2011,1079.47,24.36,39.11,41.25,7.13,1.62
Wheat,2012,784.985,23.56,39.11,41.25,7.13,0.89
Wheat,2013,731.522,29.56,39.11,41.25,7.13,1.16
Wheat,2014,916.391,24.78,39.11,41.25,7.13,1.55
Wheat,2015,920.06,27.65,39.11,41.25,7.13,1.38
Wheat,2016,836.112,28.69,39.11,41.25,7.13,1.28
Wheat,2017,723.428,27.56,39.11,41.25,7.13,1.49
