Crop,Year,Rainfall,Temp,N,P,K,Yield(Tons/Hectre)
Rice,2016,,,37.26,85.21,0.5,0.30
Rice,2017,,,37.26,85.21,0.5,0.51
Soyabean,1998,,,37.26,85.21,0.5,1.08
Soyabean,1999,,,37.26,85.21,0.5,0.91
Soyabean,2000,,,37.26,85.21,0.5,0.64
Soyabean,2001,,,37.26,85.21,0.5,0.74
Soyabean,2002,,,37.26,85.21,0.5,0.62
Soyabean,2003,,,37.26,85.21,0.5,0.64
Soyabean,2004,,,37.26,85.21,0.5,0.71
Soyabean,2005,,,37.26,85.21,0.5,0.39
Soyabean,2006,,,37.26,85.21,0.5,0.48
Soyabean,2007,,,37.26,85.21,0.5,0.55
Soyabean,2008,,,37.26,85.21,0.5,0.73
Soyabean,2009,,,37.26,85.21,0.5,0.53
Soyabean,2010,,,37.26,85.21,0.5,0.84
Soyabean,2011,,,37.26,85.21,0.5,0.76
Soyabean,2012,,,37.26,85.21,0.5,0.75
Soyabean,2013,,,37.26,85.21,0.5,0.99
Soyabean,2014,,,37.26,85.21,0.5,1.03
Soyabean,2015,,,37.26,85.21,0.5,0.57
Soyabean,2016,,,37.26,85.21,0.5,1.33
Soyabean,2017,,,37.26,85.21,0.5,0.81
Sugarcane,1998,,,37.26,85.21,0.5,57.00
Sugarcane,1999,,,37.26,85.21,0.5,92.15
Sugarcane,2000,,,37.26,85.21,0.5,90.25
Sugarcane,2001,,,37.26,85.21,0.5,73.15
Sugarcane,2002,,,37.26,85.21,0.5,62.70
Sugarcane,2003,,,37.26,85.21,0.5,32.30
Sugarcane,2004,,,37.26,85.21,0.5,88.35
Sugarcane,2005,,,37.26,85.21,0.5,64.60
Sugarcane,2006,,,37.26,85.21,0.5,64.60
Sugarcane,2007,,,37.26,85.21,0.5,61.75
Sugarcane,2008,,,37.26,85.21,0.5,70.30
Sugarcane,2009,,,37.26,85.21,0.5,56.05
Sugarcane,2010,,,37.26,85.21,0.5,59.85
Sugarcane,2011,,,37.26,85.21,0.5,65.55
Sugarcane,2012,,,37.26,85.21,0.5,68.40
Sugarcane,2013,,,37.26,85.21,0.5,74.10
Sugarcane,2014,,,37.26,85.21,0.5,69.35
Sugarcane,2015,,,37.26,85.21,0.5,59.85
Sugarcane,2016,,,37.26,85.21,0.5,65.55
Sugarcane,2017,,,37.26,85.21,0.5,68.40
Wheat,1998,,,37.26,85.21,0.5,0.40
Wheat,1999,,,37.26,85.21,0.5,0.71
Wheat,2000,,,37.26,85.21,0.5,0.55
Wheat,2001,,,37.26,85.21,0.5,0.76
Wheat,2002,,,37.26,85.21,0.5,0.36
Wheat,2003,,,37.26,85.21,0.5,0.28
Wheat,2004,,,37.26,85.21,0.5,0.07
Wheat,2005,,,37.26,85.21,0.5,0.54
Wheat,2006,,,37.26,85.21,0.5,0.63
Wheat,2007,,,37.26,85.21,0.5,0.60
Wheat,2008,,,37.26,85.21,0.5,0.66
Wheat,2009,,,37.26,85.21,0.5,0.92
Wheat,2010,,,37.26,85.21,0.5,0.80
Wheat,2011,,,37.26,85.21,0.5,1.05
Wheat,2012,,,37.26,85.21,0.5,0.72
Wheat,2013,,,37.26,85.21,0.5,0.49
Wheat,2014,,,37.26,85.21,0.5,0.89
Wheat,2015,,,37.26,85.21,0.5,1.23
Wheat,2016,,,37.26,85.21,0.5,0.48
Wheat,2017,,,37.26,85.21,0.5,0.40
,,,,,,,
