Crop,Year,Rainfall,Temp,N,P,K,Yield(Tons/Hectre)
Maize,2016,,,96.9,22.72,2.96,1.66
Maize,2017,,,96.9,22.72,2.96,3.66
Rice,1998,,,96.9,22.72,2.96,1.41
Rice,1999,,,96.9,22.72,2.96,1.37
Rice,2000,,,96.9,22.72,2.96,1.39
Rice,2001,,,96.9,22.72,2.96,1.55
Rice,2002,,,96.9,22.72,2.96,1.50
Rice,2003,,,96.9,22.72,2.96,1.07
Rice,2004,,,96.9,22.72,2.96,1.11
Rice,2005,,,96.9,22.72,2.96,1.62
Rice,2006,,,96.9,22.72,2.96,1.78
Rice,2007,,,96.9,22.72,2.96,2.15
Rice,2008,,,96.9,22.72,2.96,2.25
Rice,2009,,,96.9,22.72,2.96,3.09
Rice,2010,,,96.9,22.72,2.96,2.85
Rice,2011,,,96.9,22.72,2.96,3.21
Rice,2012,,,96.9,22.72,2.96,3.22
Rice,2013,,,96.9,22.72,2.96,2.55
Rice,2014,,,96.9,22.72,2.96,2.96
Rice,2015,,,96.9,22.72,2.96,3.06
Rice,2016,,,96.9,22.72,2.96,2.71
Rice,2017,,,96.9,22.72,2.96,2.79
Soyabean,1998,,,96.9,22.72,2.96,1.08
Soyabean,1999,,,96.9,22.72,2.96,1.03
Soyabean,2000,,,96.9,22.72,2.96,0.63
Soyabean,2001,,,96.9,22.72,2.96,0.56
Soyabean,2002,,,96.9,22.72,2.96,0.70
Soyabean,2003,,,96.9,22.72,2.96,0.80
Soyabean,2004,,,96.9,22.72,2.96,0.50
Soyabean,2005,,,96.9,22.72,2.96,1.08
Soyabean,2006,,,96.9,22.72,2.96,1.03
Soyabean,2007,,,96.9,22.72,2.96,0.63
Soyabean,2008,,,96.9,22.72,2.96,0.56
Soyabean,2009,,,96.9,22.72,2.96,0.70
Soyabean,2010,,,96.9,22.72,2.96,0.80
Soyabean,2011,,,96.9,22.72,2.96,0.50
Soyabean,2012,,,96.9,22.72,2.96,1.08
Soyabean,2013,,,96.9,22.72,2.96,1.03
Soyabean,2014,,,96.9,22.72,2.96,0.63
Soyabean,2015,,,96.9,22.72,2.96,0.56
Soyabean,2016,,,96.9,22.72,2.96,0.70
Soyabean,2017,,,96.9,22.72,2.96,0.80
Sugarcane,1998,,,96.9,22.72,2.96,102.60
Sugarcane,1999,,,96.9,22.72,2.96,114.00
Sugarcane,2000,,,96.9,22.72,2.96,84.55
Sugarcane,2001,,,96.9,22.72,2.96,52.25
Sugarcane,2002,,,96.9,22.72,2.96,73.15
Sugarcane,2003,,,96.9,22.72,2.96,62.70
Sugarcane,2004,,,96.9,22.72,2.96,76.00
Sugarcane,2005,,,96.9,22.72,2.96,63.65
Sugarcane,2006,,,96.9,22.72,2.96,55.10
Sugarcane,2007,,,96.9,22.72,2.96,53.20
Sugarcane,2008,,,96.9,22.72,2.96,68.40
Sugarcane,2009,,,96.9,22.72,2.96,83.60
Sugarcane,2010,,,96.9,22.72,2.96,73.15
Sugarcane,2011,,,96.9,22.72,2.96,74.10
Sugarcane,2012,,,96.9,22.72,2.96,76.95
Sugarcane,2013,,,96.9,22.72,2.96,79.80
Sugarcane,2014,,,96.9,22.72,2.96,68.40
Sugarcane,2015,,,96.9,22.72,2.96,88.35
Sugarcane,2016,,,96.9,22.72,2.96,81.22
Sugarcane,2017,,,96.9,22.72,2.96,82.25
Wheat,1998,,,96.9,22.72,2.96,0.48
Wheat,1999,,,96.9,22.72,2.96,0.73
Wheat,2000,,,96.9,22.72,2.96,0.82
Wheat,2001,,,96.9,22.72,2.96,0.94
Wheat,2002,,,96.9,22.72,2.96,0.93
Wheat,2003,,,96.9,22.72,2.96,0.76
Wheat,2004,,,96.9,22.72,2.96,0.52
Wheat,2005,,,96.9,22.72,2.96,0.91
Wheat,2006,,,96.9,22.72,2.96,0.82
Wheat,2007,,,96.9,22.72,2.96,0.61
Wheat,2008,,,96.9,22.72,2.96,1.00
Wheat,2009,,,96.9,22.72,2.96,0.81
Wheat,2010,,,96.9,22.72,2.96,0.95
Wheat,2011,,,96.9,22.72,2.96,1.07
Wheat,2012,,,96.9,22.72,2.96,0.73
Wheat,2013,,,96.9,22.72,2.96,0.85
Wheat,2014,,,96.9,22.72,2.96,0.96
Wheat,2015,,,96.9,22.72,2.96,1.03
Wheat,2016,,,96.9,22.72,2.96,0.53
Wheat,2017,,,96.9,22.72,2.96,0.93
,,,,,,,
