Crop,Year,Rainfall,Temp,N,P,K,Yield(Tons/Hectre)
Jowar,2009,407.42,,93.14,10.56,4.57,1.1
Jowar,2010,919.562,,93.14,10.56,4.57,0.93
Jowar,2011,781.617,,93.14,10.56,4.57,1.42
Jowar,2012,678.775,,93.14,10.56,4.57,1.18
Jowar,2013,605.366,,93.14,10.56,4.57,1.28
Jowar,2014,746.599,,93.14,10.56,4.57,1.77
Jowar,2015,660.517,,93.14,10.56,4.57,1.89
Jowar,2016,820.227,,93.14,10.56,4.57,1.64
Jowar,2017,577.14,,93.14,10.56,4.57,2.04
Maize,1998,838.459,,93.14,10.56,4.57,2.96
Maize,1999,693.496,,93.14,10.56,4.57,3.17
Maize,2000,787.626,,93.14,10.56,4.57,3.25
Maize,2001,575.605,,93.14,10.56,4.57,3.09
Maize,2002,574.325,,93.14,10.56,4.57,3.25
Maize,2003,733.779,,93.14,10.56,4.57,2.27
Maize,2004,518.116,,93.14,10.56,4.57,2.75
Maize,2005,565.301,,93.14,10.56,4.57,3.02
Maize,2006,950.527,,93.14,10.56,4.57,3.25
Maize,2007,789.737,,93.14,10.56,4.57,2.27
Maize,2008,880.991,,93.14,10.56,4.57,2.83
Maize,2009,407.42,,93.14,10.56,4.57,2.71
Maize,2010,919.562,,93.14,10.56,4.57,1.95
Maize,2011,781.617,,93.14,10.56,4.57,2.85
Maize,2012,678.775,,93.14,10.56,4.57,2.1
Maize,2013,605.366,,93.14,10.56,4.57,2.31
Maize,2014,746.599,,93.14,10.56,4.57,2.75
Maize,2015,660.517,,93.14,10.56,4.57,2.61
Maize,2016,820.227,,93.14,10.56,4.57,2.63
Maize,2017,577.14,,93.14,10.56,4.57,2.67
Rice,1998,838.459,,93.14,10.56,4.57,2.84
Rice,1999,693.496,,93.14,10.56,4.57,3.17
Rice,2000,787.626,,93.14,10.56,4.57,3.38
Rice,2001,575.605,,93.14,10.56,4.57,3.28
Rice,2002,574.325,,93.14,10.56,4.57,3.22
Rice,2003,733.779,,93.14,10.56,4.57,3.35
Rice,2004,518.116,,93.14,10.56,4.57,3.8
Rice,2005,565.301,,93.14,10.56,4.57,3.43
Rice,2006,950.527,,93.14,10.56,4.57,3.06
Rice,2007,789.737,,93.14,10.56,4.57,3.08
Rice,2008,880.991,,93.14,10.56,4.57,3.7
Rice,2009,407.42,,93.14,10.56,4.57,3.64
Rice,2010,919.562,,93.14,10.56,4.57,3.09
Rice,2011,781.617,,93.14,10.56,4.57,3.82
Rice,2012,678.775,,93.14,10.56,4.57,3.74
Rice,2013,605.366,,93.14,10.56,4.57,3.71
Rice,2014,746.599,,93.14,10.56,4.57,3.83
Rice,2015,660.517,,93.14,10.56,4.57,3.69
Rice,2016,820.227,,93.14,10.56,4.57,3.75
Rice,2017,577.14,,93.14,10.56,4.57,3.93
Sugarcane,1998,838.459,,93.14,10.56,4.57,70.3
Sugarcane,1999,693.496,,93.14,10.56,4.57,89.3
Sugarcane,2000,787.626,,93.14,10.56,4.57,109.25
Sugarcane,2001,575.605,,93.14,10.56,4.57,97.85
Sugarcane,2002,574.325,,93.14,10.56,4.57,72.2
Sugarcane,2003,733.779,,93.14,10.56,4.57,66.5
Sugarcane,2004,518.116,,93.14,10.56,4.57,95.95
Sugarcane,2005,565.301,,93.14,10.56,4.57,90.25
Sugarcane,2006,950.527,,93.14,10.56,4.57,84.55
Sugarcane,2007,789.737,,93.14,10.56,4.57,129.2
Sugarcane,2008,880.991,,93.14,10.56,4.57,96.9
Sugarcane,2009,407.42,,93.14,10.56,4.57,95.95
Sugarcane,2010,919.562,,93.14,10.56,4.57,83.6
Sugarcane,2011,781.617,,93.14,10.56,4.57,85.5
Sugarcane,2012,678.775,,93.14,10.56,4.57,80.75
Sugarcane,2013,605.366,,93.14,10.56,4.57,102.6
Sugarcane,2014,746.599,,93.14,10.56,4.57,73.15
Sugarcane,2015,660.517,,93.14,10.56,4.57,84.55
Sugarcane,2016,820.227,,93.14,10.56,4.57,68.72
Sugarcane,2017,577.14,,93.14,10.56,4.57,59.69
Wheat,1998,838.459,,93.14,10.56,4.57,0.65
Wheat,1999,693.496,,93.14,10.56,4.57,0.92
Wheat,2000,787.626,,93.14,10.56,4.57,0.93
Wheat,2001,575.605,,93.14,10.56,4.57,1
Wheat,2002,574.325,,93.14,10.56,4.57,1.03
Wheat,2003,733.779,,93.14,10.56,4.57,0.78
Wheat,2004,518.116,,93.14,10.56,4.57,0.71
Wheat,2005,565.301,,93.14,10.56,4.57,0.91
Wheat,2006,950.527,,93.14,10.56,4.57,1.09
Wheat,2007,789.737,,93.14,10.56,4.57,0.9
Wheat,2008,880.991,,93.14,10.56,4.57,1.06
Wheat,2009,407.42,,93.14,10.56,4.57,1.14
Wheat,2010,919.562,,93.14,10.56,4.57,0.9
Wheat,2011,781.617,,93.14,10.56,4.57,1.63
Wheat,2012,678.775,,93.14,10.56,4.57,1.44
Wheat,2013,605.366,,93.14,10.56,4.57,0.7
Wheat,2014,746.599,,93.14,10.56,4.57,1.05
Wheat,2015,660.517,,93.14,10.56,4.57,1.31
Wheat,2016,820.227,,93.14,10.56,4.57,1.88
Wheat,2017,577.14,,93.14,10.56,4.57,0.13
